Match ID,Date,Team 1,Team 2,Team 1 Confederation,Team 2 Confederation,Matchup_ID,Winner (or Draw),Winner_confederation,Win not Draw,Team 1 Goals,Team 2 Goals,Goal Differential,Absolute Goal Differential,Total Goals,Team 1 Yellow Cards,Team 1 Red Cards,Team 1 cards,Team 2 Yellow Cards,Team 2 Red Cards,team 2 cards,Total Cards,Team 1 Fouls,Team 2 Fouls,Foul Difference for Favorite,Abs foul difference,Higher Ranked Team Fouled More,Higher Ranked Team Fouled More and Lost or Drew,Lower Ranked Team Fouls More and Wins or Draws,Higher SPI Team Fouled More,Higher SPI Team Fouled More and Lost or Drew,Lower SPI Team Fouls More or as much and Wins or Draws,Team that fouled more,Fouls are equal,Team that fouled more won,Total Fouls,Team 1 Ranking (WC teams),Team 2 Ranking (WC teams),Ranking Gap,Higher Rated Team Won,Higher Rated Team Won or Drew,Large Ranking Gap,"High rank win, large gap","High rank loss, large gap",Team 1 SPI,Team 2 SPI,Higher SPI Team Won,Higher SPI Team Won or Drew,Large SPI Gap,"High SPI win, large gap","High SPI loss, large gap",Big underdog fouls more,"big underdog fouls more, wins/draws",SPI Gap,Goal Differential for Favorite,AFC fouls,CAF fouls,CONCACAF fouls,CONMEBOL fouls,UEFA fouls,AFC cards,CAF cards,CONCACAF cards,CONMEBOL cards,UEFA cards
400987440,2018-06-22,Brazil,Costa Rica,CONMEBOL,CONCACAF,13,Brazil,CONMEBOL,1,2,0,2,2,2,2,0,2,1,0,1,3,11,11,0,0,0,0,0,0,0,0,FALSE,1,0,22,2,19,17,1,1,1,1,0,92.81522,64.89752,1,1,1,1,0,0,0,27.9177,2,FALSE,FALSE,11,11,FALSE,FALSE,FALSE,1,2,FALSE
400987441,2018-06-22,Nigeria,Iceland,CAF,UEFA,2,Nigeria,CAF,1,2,0,2,2,2,1,0,1,0,0,0,1,9,10,-1,1,1,1,0,0,0,0,Iceland,0,0,19,27,18,9,0,0,0,0,0,70.08336,67.07394,1,1,0,0,0,0,0,3.00942,2,FALSE,9,FALSE,FALSE,10,FALSE,1,FALSE,FALSE,0
400987442,2018-06-22,Serbia,Switzerland,UEFA,UEFA,1,Switzerland,UEFA,1,1,2,-1,1,3,4,0,4,1,0,1,5,17,12,-5,5,0,0,0,0,0,0,Serbia,0,0,29,22,6,16,1,1,1,1,0,73.8232,78.14181,1,1,0,0,0,0,0,4.31861,1,FALSE,FALSE,FALSE,FALSE,17,FALSE,FALSE,FALSE,FALSE,4
400987443,2018-06-23,Belgium,Tunisia,UEFA,CAF,2,Belgium,UEFA,1,5,2,3,3,7,0,0,0,1,0,1,1,12,13,-1,1,0,0,0,0,0,0,Tunisia,0,0,25,3,17,14,1,1,1,1,0,85.40682,59.59496,1,1,1,1,0,1,0,25.81186,3,FALSE,13,FALSE,FALSE,12,FALSE,1,FALSE,FALSE,0
400987445,2018-06-23,South Korea,Mexico,AFC,CONCACAF,15,Mexico,CONCACAF,1,1,2,-1,1,3,4,0,4,0,0,0,4,24,7,-17,17,0,0,0,0,0,0,South Korea,0,0,31,29,14,15,1,1,1,1,0,60.1367,75.77906,1,1,1,1,0,1,0,15.64236,1,24,FALSE,7,FALSE,FALSE,4,FALSE,0,FALSE,FALSE
400987444,2018-06-23,Germany,Sweden,UEFA,UEFA,1,Germany,UEFA,1,2,1,1,1,3,0,1,1,2,0,2,3,12,13,-1,1,0,0,0,0,0,0,Sweden,0,0,25,1,20,19,1,1,1,1,0,90.61094,73.86757,1,1,1,1,0,1,0,16.74337,1,FALSE,FALSE,FALSE,FALSE,12,FALSE,FALSE,FALSE,FALSE,1
400987446,2018-06-24,England,Panama,UEFA,CONCACAF,3,England,UEFA,1,6,1,5,5,7,1,0,1,3,0,3,4,14,13,1,1,1,0,0,1,0,0,England,0,1,27,11,28,17,1,1,1,1,0,83.72824,56.47272,1,1,1,1,0,0,0,27.25552,5,FALSE,FALSE,13,FALSE,14,FALSE,FALSE,3,FALSE,1
400987447,2018-06-24,Japan,Senegal,AFC,CAF,11,draw,,0,2,2,0,0,4,2,0,2,3,0,3,5,8,14,-6,6,1,1,0,0,0,1,Senegal,0,0,22,30,21,9,0,1,0,0,0,71.43255,65.96802,0,1,0,0,0,0,0,5.46453,0,8,14,FALSE,FALSE,FALSE,2,3,FALSE,FALSE,FALSE
400987448,2018-06-24,Poland,Colombia,UEFA,CONMEBOL,4,Colombia,CONMEBOL,1,0,3,-3,3,3,2,0,2,0,0,0,2,15,10,-5,5,1,1,0,0,0,0,Poland,0,0,25,8,15,7,0,0,0,0,0,73.28044,80.52894,1,1,0,0,0,0,0,7.2485,3,FALSE,FALSE,FALSE,10,15,FALSE,FALSE,FALSE,0,2
400987449,2018-06-25,Saudi Arabia,Egypt,AFC,CAF,11,Saudi Arabia,AFC,1,2,1,1,1,3,0,0,0,2,0,2,2,7,16,9,9,1,1,0,1,1,0,Egypt,0,0,23,31,26,5,0,0,0,0,0,51.3338,62.46236,0,0,1,0,1,0,0,11.12856,-1,7,16,FALSE,FALSE,FALSE,0,2,FALSE,FALSE,FALSE
400987450,2018-06-25,Uruguay,Russia,CONMEBOL,UEFA,4,Uruguay,CONMEBOL,1,3,0,3,3,3,1,0,1,1,1,2,3,17,18,-1,1,0,0,0,0,0,0,Russia,0,0,35,13,32,19,1,1,1,1,0,79.52363,70.14205,1,1,1,1,0,1,0,9.38158,3,FALSE,FALSE,FALSE,17,18,FALSE,FALSE,FALSE,1,2
400987452,2018-06-25,Spain,Morocco,UEFA,CAF,2,draw,,0,2,2,0,0,4,0,0,0,6,0,6,6,5,17,-12,12,0,0,1,0,0,1,Morocco,0,0,22,9,25,16,0,1,1,0,0,91.30254,72.33079,0,1,1,0,0,1,1,18.97175,0,FALSE,17,FALSE,FALSE,5,FALSE,6,FALSE,FALSE,0
400987451,2018-06-25,Iran,Portugal,AFC,UEFA,6,draw,,0,1,1,0,0,2,2,0,2,4,0,4,6,16,11,-5,5,0,0,1,0,0,1,Iran,0,0,27,24,4,20,0,1,1,0,0,65.56769,83.46619,0,1,1,0,0,1,1,17.8985,0,16,FALSE,FALSE,FALSE,11,2,FALSE,FALSE,FALSE,4
400987454,2018-06-26,Denmark,France,UEFA,UEFA,1,draw,,0,0,0,0,0,0,1,0,1,0,0,0,1,10,10,0,0,0,1,0,0,0,0,FALSE,1,0,20,11,7,4,0,1,0,0,0,74.74844,87.17682,0,1,1,0,0,0,0,12.42838,0,FALSE,FALSE,FALSE,FALSE,10,FALSE,FALSE,FALSE,FALSE,1
400987453,2018-06-26,Australia,Peru,AFC,CONMEBOL,18,Peru,CONMEBOL,1,0,2,-2,2,2,4,0,4,2,0,2,6,14,12,-2,2,0,0,0,0,0,0,Australia,0,0,26,23,10,13,1,1,1,1,0,61.68548,72.15616,1,1,1,1,0,1,0,10.47068,2,14,FALSE,FALSE,12,FALSE,4,FALSE,FALSE,2,FALSE
400987456,2018-06-26,Iceland,Croatia,UEFA,UEFA,1,Croatia,UEFA,1,1,2,-1,1,3,3,0,3,2,0,2,5,10,12,2,2,1,0,0,1,0,0,Croatia,0,1,22,18,16,2,1,1,0,0,0,67.07394,80.38099,1,1,1,1,0,0,0,13.30705,1,FALSE,FALSE,FALSE,FALSE,10,FALSE,FALSE,FALSE,FALSE,3
400987455,2018-06-26,Nigeria,Argentina,CAF,CONMEBOL,9,Argentina,CONMEBOL,1,1,2,-1,1,3,2,0,2,3,0,3,5,20,15,-5,5,0,0,0,0,0,0,Nigeria,0,0,35,27,5,22,1,1,1,1,0,70.08336,87.41192,1,1,1,1,0,1,0,17.32856,1,FALSE,20,FALSE,15,FALSE,FALSE,2,FALSE,3,FALSE
400987457,2018-06-27,Mexico,Sweden,CONCACAF,UEFA,3,Sweden,UEFA,1,0,3,-3,3,3,3,0,3,2,0,2,5,14,11,3,3,1,1,0,1,1,0,Mexico,0,0,25,14,20,6,0,0,0,0,0,75.77906,73.86757,0,0,0,0,0,0,0,1.91149,-3,FALSE,FALSE,14,FALSE,11,FALSE,FALSE,3,FALSE,2
400987458,2018-06-27,South Korea,Germany,AFC,UEFA,6,South Korea,AFC,1,2,0,2,2,2,4,0,4,0,0,0,4,16,7,-9,9,0,0,1,0,0,1,South Korea,0,1,23,29,1,28,0,0,1,0,1,60.1367,90.61094,0,0,1,0,1,1,1,30.47424,-2,16,FALSE,FALSE,FALSE,7,4,FALSE,FALSE,FALSE,0
400987460,2018-06-27,Switzerland,Costa Rica,UEFA,CONCACAF,3,draw,,0,2,2,0,0,4,3,0,3,3,0,3,6,9,14,-5,5,0,0,1,0,0,1,Costa Rica,0,0,23,6,19,13,0,1,1,0,0,78.14181,64.89752,0,1,1,0,0,1,1,13.24429,0,FALSE,FALSE,14,FALSE,9,FALSE,FALSE,3,FALSE,3
400987459,2018-06-27,Serbia,Brazil,UEFA,CONMEBOL,4,Brazil,CONMEBOL,1,0,2,-2,2,2,3,0,3,0,0,0,3,13,7,-6,6,0,0,0,0,0,0,Serbia,0,0,20,22,2,20,1,1,1,1,0,73.8232,92.81522,1,1,1,1,0,1,0,18.99202,2,FALSE,FALSE,FALSE,7,13,FALSE,FALSE,FALSE,0,3
400987461,2018-06-28,Japan,Poland,AFC,UEFA,6,Poland,UEFA,1,0,1,-1,1,1,1,0,1,0,0,0,1,11,8,-3,3,0,0,0,0,0,0,Japan,0,0,19,30,8,22,1,1,1,1,0,71.43255,73.28044,1,1,0,0,0,0,0,1.84789,1,11,FALSE,FALSE,FALSE,8,1,FALSE,FALSE,FALSE,0
400987462,2018-06-28,Senegal,Colombia,CAF,CONMEBOL,9,Colombia,CONMEBOL,1,0,1,-1,1,1,1,0,1,1,0,1,2,15,15,0,0,0,0,0,0,0,0,FALSE,1,0,30,21,15,6,1,1,0,0,0,65.96802,80.52894,1,1,1,1,0,0,0,14.56092,1,FALSE,15,FALSE,15,FALSE,FALSE,1,FALSE,1,FALSE
400987463,2018-06-28,England,Belgium,UEFA,UEFA,1,Belgium,UEFA,1,0,1,-1,1,1,0,0,0,2,0,2,2,11,14,3,3,1,0,0,1,0,0,Belgium,0,1,25,11,3,8,1,1,0,0,0,83.72824,85.40682,1,1,0,0,0,0,0,1.67858,1,FALSE,FALSE,FALSE,FALSE,11,FALSE,FALSE,FALSE,FALSE,0
400987464,2018-06-28,Panama,Tunisia,CONCACAF,CAF,8,Tunisia,CAF,1,1,2,-1,1,3,3,0,3,3,0,3,6,18,19,1,1,1,0,0,1,0,0,Tunisia,0,1,37,28,17,11,1,1,1,1,0,56.47272,59.59496,1,1,0,0,0,0,0,3.12224,1,FALSE,19,18,FALSE,FALSE,FALSE,3,3,FALSE,FALSE
