Match_index,Team 1,Team 1 Confederation,Team 2,Team 2 Confederation,Matchup_ID,Winner (or draw),Winner Confederation,Win not draw,Team 1 Goals,Team 2 Goals,Goal Differential,Absolute Goal Differential,Total Goals,Team 1 Cards,Team 2 Cards,Total Cards,Team 1 Fouls,Team 2 Fouls,Total Fouls,Winning Team Fouled More,Higher Ranked Team Fouled More,Higher Ranked Team Fouled More and Lost or Drew,Lower Ranked Team Fouls More and Wins or Draws,Higher SPI Team Fouled More,Higher SPI Team Fouled More and Lost or Drew,Lower SPI Team Fouls More and Wins or Draws,Team that fouled more,fouls equal,Team that fouled more won,Team 1 Ranking (WC Teams),Team 2 Ranking (WC Teams),Higher Ranked Team Won,Higher Ranked Team Won or Drew,Large Ranking Gap,"High SPI win, large gap",Upset,Ranking Difference,Goal Differential for Favorite by Ranking,Team 1 SPI,Team 2 SPI,Higher SPI Team Won,Higher SPI Team Won or Drew,Large SPI Gap,"High SPI win, large gap",Upset SPI,SPI Difference,Goal Differential for Favorite,Goal Differential / SPI Gap,AFC fouls,CAF fouls,CONCACAF fouls,CONMEBOL fouls,UEFA fouls
28,Nigeria,CAF,Bosnia and Herzegovina,UEFA,2,Nigeria,CAF,1,1,0,1,1,1,,,2,9,7,16,1,0,0,1,0,0,1,Nigeria,0,0,28,20,0,0,0,0,0,8,-1,75.23,80.31,0,0,0,0,0,5.08,-1,-0.197,FALSE,9,FALSE,FALSE,7
29,Germany,UEFA,Ghana,CAF,2,draw,,0,2,2,0,0,4,,,1,11,17,28,0,0,0,1,0,0,1,Ghana,0,0,2,26,0,1,1,0,0,24,0,88.87,77.23,0,1,1,0,0,11.64,0,0,FALSE,17,FALSE,FALSE,11
30,USA,CONCACAF,Portugal,UEFA,3,draw,,0,2,2,0,0,4,,,1,11,14,25,0,1,1,0,1,1,0,Portugal,0,1,13,4,0,1,0,0,0,9,0,77.42,81.02,0,1,0,0,0,3.6,0,0,FALSE,FALSE,11,FALSE,14
31,Belgium,UEFA,Russia,UEFA,1,Belgium,UEFA,1,1,0,1,1,1,,,3,13,9,22,1,1,0,0,1,0,0,Belgium,0,0,11,18,1,1,0,0,0,7,1,81.97,79.03,1,1,0,0,0,2.94,1,0.34,FALSE,FALSE,FALSE,FALSE,13
32,South Korea,AFC,Algeria,CAF,11,Algeria,CAF,1,2,4,-2,2,6,,,3,13,16,29,1,1,0,0,0,0,1,Algeria,0,0,31,21,1,1,0,0,0,10,2,72.38,63.43,0,0,1,0,1,8.95,-2,-0.223,13,16,FALSE,FALSE,FALSE
33,Cameroon,CAF,Brazil,CONMEBOL,9,Brazil,CONMEBOL,1,1,4,-3,3,5,,,3,14,19,33,1,1,0,0,1,0,0,Brazil,0,0,30,3,1,1,1,1,0,27,3,71.33,91.83,1,1,1,1,0,20.5,3,0.146,FALSE,14,FALSE,19,FALSE
34,Croatia,UEFA,Mexico,CONCACAF,3,Mexico,CONCACAF,1,1,3,-2,2,4,,,4,18,12,30,0,1,1,0,0,0,0,Croatia,0,0,17,19,0,0,0,0,0,2,-2,75.72,76.95,1,1,0,0,0,1.23,2,1.626,FALSE,FALSE,12,FALSE,18
35,Australia,AFC,Spain,UEFA,6,Spain,UEFA,1,0,3,-3,3,3,,,3,14,9,23,0,0,0,0,0,0,0,Australia,0,0,32,1,1,1,1,1,0,31,3,69.45,89.13,1,1,1,1,0,19.68,3,0.152,14,FALSE,FALSE,FALSE,9
36,Netherlands,UEFA,Chile,CONMEBOL,4,Netherlands,UEFA,1,2,0,2,2,2,,,2,26,14,40,1,0,0,1,0,0,1,Netherlands,0,0,15,14,0,0,0,0,0,1,-2,82.49,86.72,0,0,0,0,0,4.23,-2,-0.473,FALSE,FALSE,FALSE,14,26
37,Japan,AFC,Colombia,CONMEBOL,18,Colombia,CONMEBOL,1,1,4,-3,3,5,,,2,10,19,29,1,1,0,0,1,0,0,Colombia,0,0,29,8,1,1,1,1,0,21,3,73.5,85.82,1,1,1,1,0,12.32,3,0.244,10,FALSE,FALSE,19,FALSE
